"","Regulator","Target","RegulatorType","TargetType","regulatory_Mechanism"
"4440","AKT1","MAP2K4","PCG","PCG","interacts"
"4441","AKT1","TRIB3","PCG","PCG","interacts"
"4442","AKT1","PPP2CA","PCG","PCG","interacts"
"4443","AKT1","BRCA1","PCG","PCG","interacts"
"4444","AKT1","PIK3R1","PCG","PCG","interacts"
"4445","AKT1","IKBKB","PCG","PCG","interacts"
"4446","AKT1","TRAF6","PCG","PCG","interacts"
"4447","AKT1","FKBP5","PCG","PCG","interacts"
"4448","AKT1","TCL1A","PCG","PCG","interacts"
"4449","AKT1","AKT3","PCG","PCG","interacts"
"4450","AKT1","CTNNB1","PCG","PCG","interacts"
"4451","AKT1","IKBKG","PCG","PCG","interacts"
"4452","AKT1","ARHGDIA","PCG","PCG","interacts"
"4453","AKT1","PHLPP2","PCG","PCG","interacts"
"4454","AKT1","CDC42","PCG","PCG","interacts"
"4455","AKT2","MAPK1","PCG","PCG","interacts"
"4456","AKT2","PIK3R2","PCG","PCG","interacts"
"4457","AKT2","RPS6KB1","PCG","PCG","interacts"
"4458","AKT2","CDKN1B","PCG","PCG","interacts"
"4459","AKT2","MAPK14","PCG","PCG","interacts"
"4460","AKT2","MDM2","PCG","PCG","interacts"
"4461","AKT2","PHLPP1","PCG","PCG","interacts"
"4462","AKT2","PIK3R3","PCG","PCG","interacts"
"4463","AKT2","MAPK3","PCG","PCG","interacts"
"4464","AKT2","PIK3CA","PCG","PCG","interacts"
"4465","AKT2","NOS3","PCG","PCG","interacts"
"4466","AKT2","TSC1","PCG","PCG","interacts"
"4467","AKT2","GSK3B","PCG","PCG","interacts"
"4468","AKT2","CASP9","PCG","PCG","interacts"
"4469","AKT2","HSP90AA1","PCG","PCG","interacts"
"4470","AKT2","PDPK1","PCG","PCG","interacts"
"4471","AKT2","MTOR","PCG","PCG","interacts"
"4472","AKT2","PFKFB2","PCG","PCG","interacts"
"4473","AKT2","CHUK","PCG","PCG","interacts"
"4474","AKT2","BCL2L1","PCG","PCG","interacts"
"4475","AKT2","PIK3CD","PCG","PCG","interacts"
"4476","AKT2","MAP2K4","PCG","PCG","interacts"
"4477","AKT2","BAD","PCG","PCG","interacts"
"4478","AKT2","IKBKG","PCG","PCG","interacts"
"4479","AKT2","RAF1","PCG","PCG","interacts"
"4480","AKT2","IKBKB","PCG","PCG","interacts"
"4481","AKT2","BRCA1","PCG","PCG","interacts"
"4482","AKT2","BCL2","PCG","PCG","interacts"
"4483","AKT2","CDKN1A","PCG","PCG","interacts"
"4484","AKT2","TRIB3","PCG","PCG","interacts"
"4485","AKT2","AKT3","PCG","PCG","interacts"
"4486","AKT2","TCL1A","PCG","PCG","interacts"
"4487","AKT2","PIK3R1","PCG","PCG","interacts"
"4488","AKT2","PHLPP2","PCG","PCG","interacts"
"4489","AKT3","MAPK1","PCG","PCG","interacts"
"4490","AKT3","PIK3R2","PCG","PCG","interacts"
"4491","AKT3","RPS6KB1","PCG","PCG","interacts"
"4492","AKT3","CDKN1B","PCG","PCG","interacts"
"4493","AKT3","MAPK14","PCG","PCG","interacts"
"4494","AKT3","MDM2","PCG","PCG","interacts"
"4495","AKT3","PHLPP1","PCG","PCG","interacts"
"4496","AKT3","PIK3R3","PCG","PCG","interacts"
"4497","AKT3","MAPK3","PCG","PCG","interacts"
"4498","AKT3","PIK3CA","PCG","PCG","interacts"
"4499","AKT3","NOS3","PCG","PCG","interacts"
"4500","AKT3","TSC1","PCG","PCG","interacts"
"4501","AKT3","GSK3B","PCG","PCG","interacts"
"4502","AKT3","CASP9","PCG","PCG","interacts"
"4503","AKT3","HSP90AA1","PCG","PCG","interacts"
"4504","AKT3","PDPK1","PCG","PCG","interacts"
"4505","AKT3","MTOR","PCG","PCG","interacts"
"4506","AKT3","PFKFB2","PCG","PCG","interacts"
"4507","AKT3","CHUK","PCG","PCG","interacts"
"4508","AKT3","BCL2L1","PCG","PCG","interacts"
"4509","AKT3","PIK3CD","PCG","PCG","interacts"
"4510","AKT3","BAD","PCG","PCG","interacts"
"4511","AKT3","BCL2","PCG","PCG","interacts"
"4512","AKT3","CDKN1A","PCG","PCG","interacts"
"4513","AKT3","RAF1","PCG","PCG","interacts"
"4514","AKT3","MAP2K4","PCG","PCG","interacts"
"4515","AKT3","TRIB3","PCG","PCG","interacts"
"4516","AKT3","BRCA1","PCG","PCG","interacts"
"4517","AKT3","PIK3R1","PCG","PCG","interacts"
"4518","AKT3","IKBKB","PCG","PCG","interacts"
"4519","AKT3","TCL1A","PCG","PCG","interacts"
"4520","AKT3","PHLPP2","PCG","PCG","interacts"
"4521","AKT3","IKBKG","PCG","PCG","interacts"
"4522","ALDH1A1","CYP26B1","PCG","PCG","interacts"
"4523","ALDH1A1","CYP1A2","PCG","PCG","interacts"
"4524","ALDOA","TPI1","PCG","PCG","interacts"
"4525","ALDOA","HK2","PCG","PCG","interacts"
"4526","ALDOA","PDHB","PCG","PCG","interacts"
"4527","ALDOA","PKM","PCG","PCG","interacts"
"4528","ALDOA","PGAM1","PCG","PCG","interacts"
"4529","ALDOA","PGK1","PCG","PCG","interacts"
"4530","ALDOA","PFKP","PCG","PCG","interacts"
"4531","ALDOA","GAPDH","PCG","PCG","interacts"
"4532","ALDOA","GPI","PCG","PCG","interacts"
"4533","ALDOA","FBP1","PCG","PCG","interacts"
"4534","ALDOA","LDHA","PCG","PCG","interacts"
"4535","ALDOA","HK1","PCG","PCG","interacts"
"4536","ALDOA","ENO1","PCG","PCG","interacts"
"4537","AMOT","SFN","PCG","PCG","interacts"
"4538","AMOT","NF2","PCG","PCG","interacts"
"4539","AMOT","LATS2","PCG","PCG","interacts"
"4540","AMOT","LATS1","PCG","PCG","interacts"
"4541","AMOT","NEDD4L","PCG","PCG","interacts"
"4542","AMOT","WWTR1","PCG","PCG","interacts"
"4543","AMOT","YAP1","PCG","PCG","interacts"
"4544","ANGPT1","PDGFRB","PCG","PCG","interacts"
"4545","ANGPT1","KDR","PCG","PCG","interacts"
"4546","ANGPT1","FLT1","PCG","PCG","interacts"
"4547","ANGPT1","ANGPT2","PCG","PCG","interacts"
"4548","ANGPT1","TIE1","PCG","PCG","interacts"
"4549","ANGPT1","ANGPT4","PCG","PCG","interacts"
"4550","ANGPT2","KDR","PCG","PCG","interacts"
"4551","ANGPT2","FLT1","PCG","PCG","interacts"
"4552","ANGPT2","ANGPT4","PCG","PCG","interacts"
"4553","ANGPT2","TIE1","PCG","PCG","interacts"
"4554","ANGPT4","TIE1","PCG","PCG","interacts"
"4555","ANGPTL3","ANGPTL4","PCG","PCG","interacts"
"4556","ANPEP","KIT","PCG","PCG","interacts"
"4557","ANPEP","GCLM","PCG","PCG","interacts"
"4558","ANPEP","GCLC","PCG","PCG","interacts"
"4559","ANPEP","DPP4","PCG","PCG","interacts"
"4560","ANPEP","SFN","PCG","PCG","interacts"
"4561","ANXA2","S100A11","PCG","PCG","interacts"
"4562","ANXA2","EGFR","PCG","PCG","interacts"
"4563","ANXA2","S100A1","PCG","PCG","interacts"
"4564","ANXA2","CAV1","PCG","PCG","interacts"
"4565","ANXA2","CDC42","PCG","PCG","interacts"
"4566","ANXA2","TLR4","PCG","PCG","interacts"
"4567","ANXA2","S100A4","PCG","PCG","interacts"
"4568","ANXA2","S100A10","PCG","PCG","interacts"
"4569","AP1G1","AP1S2","PCG","PCG","interacts"
"4570","APAF1","BAX","PCG","PCG","interacts"
"4571","APAF1","CYCS","PCG","PCG","interacts"
"4572","APAF1","CASP3","PCG","PCG","interacts"
"4573","APAF1","CASP9","PCG","PCG","interacts"
"4574","APAF1","HSP90AA1","PCG","PCG","interacts"
"4575","APAF1","CASP8","PCG","PCG","interacts"
"4576","APAF1","XIAP","PCG","PCG","interacts"
"4577","APAF1","BCL2L1","PCG","PCG","interacts"
"4578","APAF1","BCL2","PCG","PCG","interacts"
"4579","APAF1","DIABLO","PCG","PCG","interacts"
"4580","APC","CDH1","PCG","PCG","interacts"
"4581","APC","CTNNBIP1","PCG","PCG","interacts"
"4582","APC","CTBP1","PCG","PCG","interacts"
"4583","APC","SIAH1","PCG","PCG","interacts"
"4584","APC","GSK3B","PCG","PCG","interacts"
"4585","APC","CTNNB1","PCG","PCG","interacts"
"4586","APC","AXIN2","PCG","PCG","interacts"
"4587","APEX1","TDG","PCG","PCG","interacts"
"4588","APEX1","GADD45A","PCG","PCG","interacts"
"4589","APEX1","EP300","PCG","PCG","interacts"
"4590","APEX1","PARP1","PCG","PCG","interacts"
"4591","APEX1","OGG1","PCG","PCG","interacts"
"4592","API5","FGF2","PCG","PCG","interacts"
"4593","APOM","CLU","PCG","PCG","interacts"
"4594","ARF6","KIF23","PCG","PCG","interacts"
"4595","ARF6","RAB11A","PCG","PCG","interacts"
"4596","ARF6","SPAG9","PCG","PCG","interacts"
"4597","ARF6","CYTH3","PCG","PCG","interacts"
"4598","ARHGDIA","RAC2","PCG","PCG","interacts"
"4599","ARHGDIA","RHOB","PCG","PCG","interacts"
"4600","ARHGDIA","RHOC","PCG","PCG","interacts"
"4601","ARHGDIA","RAC1","PCG","PCG","interacts"
"4602","ARHGDIA","RHOA","PCG","PCG","interacts"
"4603","ARHGDIA","CDC42","PCG","PCG","interacts"
"4604","ASPM","AURKA","PCG","PCG","interacts"
"4605","ASPM","NCAPG","PCG","PCG","interacts"
"4606","ASPM","CCNB1","PCG","PCG","interacts"
"4607","ASPM","KIF23","PCG","PCG","interacts"
"4608","ASPM","CENPE","PCG","PCG","interacts"
"4609","ASPM","BUB1B","PCG","PCG","interacts"
"4610","ASPM","CCNB2","PCG","PCG","interacts"
"4611","ASPM","MELK","PCG","PCG","interacts"
"4612","ASPM","TPX2","PCG","PCG","interacts"
"4613","ASPM","BUB1","PCG","PCG","interacts"
"4614","ASPM","SPAG5","PCG","PCG","interacts"
"4615","ASPM","UBE2C","PCG","PCG","interacts"
"4616","ASPM","CENPF","PCG","PCG","interacts"
"4617","ASPM","NEK2","PCG","PCG","interacts"
"4618","ASPM","KIF14","PCG","PCG","interacts"
"4619","ASPM","PRC1","PCG","PCG","interacts"
"4620","ASPM","HMMR","PCG","PCG","interacts"
"4621","ASPM","NUSAP1","PCG","PCG","interacts"
"4622","ASPM","CDK1","PCG","PCG","interacts"
"4623","ASPM","CCNA2","PCG","PCG","interacts"
"4624","ASPM","CEP55","PCG","PCG","interacts"
"4625","ASPM","KIF4A","PCG","PCG","interacts"
"4626","ASPM","MKI67","PCG","PCG","interacts"
"4627","ASPM","CDC20","PCG","PCG","interacts"
"4628","ASPM","KIF20A","PCG","PCG","interacts"
"4629","ASPM","TOP2A","PCG","PCG","interacts"
"4630","ASS1","NOS3","PCG","PCG","interacts"
"4631","ASS1","GOT1","PCG","PCG","interacts"
"4632","ASS1","IL4I1","PCG","PCG","interacts"
"4633","ASS1","CPS1","PCG","PCG","interacts"
"4634","ATG12","RB1CC1","PCG","PCG","interacts"
"4635","ATG12","ATG14","PCG","PCG","interacts"
"4636","ATG12","ATG3","PCG","PCG","interacts"
"4637","ATG12","NOD2","PCG","PCG","interacts"
"4638","ATG12","FADD","PCG","PCG","interacts"
"4639","ATG12","ULK1","PCG","PCG","interacts"
"4640","ATG12","ATG7","PCG","PCG","interacts"
"4641","ATG12","BECN1","PCG","PCG","interacts"
"4642","ATG12","MCL1","PCG","PCG","interacts"
"4643","ATG12","ATG5","PCG","PCG","interacts"
"4644","ATG12","MAP1LC3A","PCG","PCG","interacts"
"4645","ATG12","DDX58","PCG","PCG","interacts"
"4646","ATG12","SQSTM1","PCG","PCG","interacts"
"4647","ATG12","ATG16L1","PCG","PCG","interacts"
"4648","ATG12","BCL2","PCG","PCG","interacts"
"4649","ATG12","ATG4B","PCG","PCG","interacts"
"4650","ATG12","MAP1LC3B","PCG","PCG","interacts"
"4651","ATG14","RB1CC1","PCG","PCG","interacts"
"4652","ATG14","BCL2","PCG","PCG","interacts"
"4653","ATG14","ATG7","PCG","PCG","interacts"
"4654","ATG14","ATG16L1","PCG","PCG","interacts"
"4655","ATG14","ATG5","PCG","PCG","interacts"
"4656","ATG14","ULK1","PCG","PCG","interacts"
"4657","ATG14","BECN1","PCG","PCG","interacts"
"4658","ATG16L1","RB1CC1","PCG","PCG","interacts"
"4659","ATG16L1","ATG3","PCG","PCG","interacts"
"4660","ATG16L1","NOD2","PCG","PCG","interacts"
"4661","ATG16L1","ULK1","PCG","PCG","interacts"
"4662","ATG16L1","ATG7","PCG","PCG","interacts"
"4663","ATG16L1","BECN1","PCG","PCG","interacts"
"4664","ATG16L1","ATG5","PCG","PCG","interacts"
"4665","ATG16L1","SQSTM1","PCG","PCG","interacts"
"4666","ATG16L1","TRIM16","PCG","PCG","interacts"
"4667","ATG16L1","NLRX1","PCG","PCG","interacts"
"4668","ATG16L1","MAP1LC3B","PCG","PCG","interacts"
"4669","ATG3","RB1CC1","PCG","PCG","interacts"
"4670","ATG3","MAP1LC3B2","PCG","PCG","interacts"
"4671","ATG3","ATG4D","PCG","PCG","interacts"
"4672","ATG3","ATG4B","PCG","PCG","interacts"
"4673","ATG3","BECN1","PCG","PCG","interacts"
"4674","ATG3","ULK1","PCG","PCG","interacts"
"4675","ATG3","MAP1LC3A","PCG","PCG","interacts"
"4676","ATG3","MAP1LC3B","PCG","PCG","interacts"
"4677","ATG3","ATG5","PCG","PCG","interacts"
"4678","ATG3","ATG7","PCG","PCG","interacts"
"4679","ATG4B","ULK1","PCG","PCG","interacts"
"4680","ATG4B","ATG7","PCG","PCG","interacts"
"4681","ATG4B","ATG5","PCG","PCG","interacts"
"4682","ATG4B","MAP1LC3A","PCG","PCG","interacts"
"4683","ATG4B","MAP1LC3B","PCG","PCG","interacts"
"4684","ATG4D","ATG7","PCG","PCG","interacts"
"4685","ATG5","RB1CC1","PCG","PCG","interacts"
"4686","ATG5","SIRT1","PCG","PCG","interacts"
"4687","ATG5","NOD2","PCG","PCG","interacts"
"4688","ATG5","FADD","PCG","PCG","interacts"
"4689","ATG5","ULK1","PCG","PCG","interacts"
"4690","ATG5","ATG7","PCG","PCG","interacts"
"4691","ATG5","CASP8","PCG","PCG","interacts"
"4692","ATG5","BECN1","PCG","PCG","interacts"
"4693","ATG5","NLRX1","PCG","PCG","interacts"
"4694","ATG5","MAP1LC3A","PCG","PCG","interacts"
"4695","ATG5","MAP1LC3B","PCG","PCG","interacts"
"4696","ATG5","SQSTM1","PCG","PCG","interacts"
"4697","ATG5","BCL2L1","PCG","PCG","interacts"
"4698","ATG5","DDX58","PCG","PCG","interacts"
"4699","ATG7","RB1CC1","PCG","PCG","interacts"
"4700","ATG7","SIRT1","PCG","PCG","interacts"
"4701","ATG7","ULK1","PCG","PCG","interacts"
"4702","ATG7","SQSTM1","PCG","PCG","interacts"
"4703","ATG7","BECN1","PCG","PCG","interacts"
"4704","ATG7","MAP1LC3A","PCG","PCG","interacts"
"4705","ATG7","MAP1LC3B","PCG","PCG","interacts"
"4706","ATG9A","ULK1","PCG","PCG","interacts"
"4707","ATG9A","ATG9B","PCG","PCG","interacts"
"4708","ATM","MSH2","PCG","PCG","interacts"
"4709","ATM","RPA1","PCG","PCG","interacts"
"4710","ATM","CDK4","PCG","PCG","interacts"
"4711","ATM","MDM2","PCG","PCG","interacts"
"4712","ATM","EP300","PCG","PCG","interacts"
"4713","ATM","MSH3","PCG","PCG","interacts"
"4714","ATM","CDK2","PCG","PCG","interacts"
"4715","ATM","KDM1A","PCG","PCG","interacts"
"4716","ATM","SQSTM1","PCG","PCG","interacts"
"4717","ATM","HDAC1","PCG","PCG","interacts"
"4718","ATM","CASP8","PCG","PCG","interacts"
"4719","ATM","PRKDC","PCG","PCG","interacts"
"4720","ATM","RBBP8","PCG","PCG","interacts"
"4721","ATM","IKBKG","PCG","PCG","interacts"
"4722","ATM","BRCA2","PCG","PCG","interacts"
"4723","ATM","RAD51","PCG","PCG","interacts"
"4724","ATM","H2AX","PCG","PCG","interacts"
"4725","ATM","CHEK1","PCG","PCG","interacts"
"4726","ATM","BRCA1","PCG","PCG","interacts"
"4727","ATM","MDC1","PCG","PCG","interacts"
"4728","ATP7A","EIF4G1","PCG","PCG","interacts"
"4729","ATXN7L3","KAT2A","PCG","PCG","interacts"
"4730","ATXN7L3","USP22","PCG","PCG","interacts"
"4731","ATXN7L3","KAT2B","PCG","PCG","interacts"
"4732","AURKA","CENPF","PCG","PCG","interacts"
"4733","AURKA","PRC1","PCG","PCG","interacts"
"4734","AURKA","MELK","PCG","PCG","interacts"
"4735","AURKA","CPEB3","PCG","PCG","interacts"
"4736","AURKA","PHLDA1","PCG","PCG","interacts"
"4737","AURKA","CPEB2","PCG","PCG","interacts"
"4738","AURKA","CPEB4","PCG","PCG","interacts"
"4739","AURKA","AURKB","PCG","PCG","interacts"
"4740","AURKA","KIF23","PCG","PCG","interacts"
"4741","AURKA","BUB1B","PCG","PCG","interacts"
"4742","AURKA","KIF20A","PCG","PCG","interacts"
"4743","AURKA","CEP55","PCG","PCG","interacts"
"4744","AURKA","BRCA1","PCG","PCG","interacts"
"4745","AURKA","FN1","PCG","PCG","interacts"
"4746","AURKA","CCNA2","PCG","PCG","interacts"
"4747","AURKA","CDK1","PCG","PCG","interacts"
"4748","AURKA","NCAPG","PCG","PCG","interacts"
"4749","AURKA","CPEB1","PCG","PCG","interacts"
"4750","AURKA","GADD45A","PCG","PCG","interacts"
"4751","AURKA","TOP2A","PCG","PCG","interacts"
"4752","AURKA","PTTG1","PCG","PCG","interacts"
"4753","AURKA","HMMR","PCG","PCG","interacts"
"4754","AURKA","BUB1","PCG","PCG","interacts"
"4755","AURKA","CCNB1","PCG","PCG","interacts"
"4756","AURKA","UBE2C","PCG","PCG","interacts"
"4757","AURKA","CCNB2","PCG","PCG","interacts"
"4758","AURKA","NEDD9","PCG","PCG","interacts"
"4759","AURKA","BIRC5","PCG","PCG","interacts"
"4760","AURKA","INCENP","PCG","PCG","interacts"
"4761","AURKA","CDC20","PCG","PCG","interacts"
"4762","AURKA","PLK1","PCG","PCG","interacts"
"4763","AURKA","TPX2","PCG","PCG","interacts"
"4764","AURKB","NCAPH","PCG","PCG","interacts"
"4765","AURKB","NCAPG","PCG","PCG","interacts"
"4766","AURKB","CCNB1","PCG","PCG","interacts"
"4767","AURKB","KIF23","PCG","PCG","interacts"
"4768","AURKB","CENPE","PCG","PCG","interacts"
"4769","AURKB","BUB1B","PCG","PCG","interacts"
"4770","AURKB","CCNB2","PCG","PCG","interacts"
"4771","AURKB","MELK","PCG","PCG","interacts"
"4772","AURKB","PLK1","PCG","PCG","interacts"
"4773","AURKB","TPX2","PCG","PCG","interacts"
"4774","AURKB","BIRC5","PCG","PCG","interacts"
"4775","AURKB","BUB1","PCG","PCG","interacts"
"4776","AURKB","NUSAP1","PCG","PCG","interacts"
"4777","AURKB","KNL1","PCG","PCG","interacts"
"4778","AURKB","CENPF","PCG","PCG","interacts"
"4779","AURKB","CDCA3","PCG","PCG","interacts"
"4780","AURKB","KIF4A","PCG","PCG","interacts"
"4781","AURKB","PTTG1","PCG","PCG","interacts"
"4782","AURKB","UBE2C","PCG","PCG","interacts"
"4783","AURKB","TOP2A","PCG","PCG","interacts"
"4784","AURKB","RCC2","PCG","PCG","interacts"
"4785","AURKB","KIF20A","PCG","PCG","interacts"
"4786","AURKB","CCNA2","PCG","PCG","interacts"
"4787","AURKB","CDK1","PCG","PCG","interacts"
"4788","AURKB","CDC20","PCG","PCG","interacts"
"4789","AURKB","INCENP","PCG","PCG","interacts"
"4790","AXIN2","NKD1","PCG","PCG","interacts"
"4791","AXIN2","CSNK1E","PCG","PCG","interacts"
"4792","AXIN2","RLIM","PCG","PCG","interacts"
"4793","AXIN2","TNKS2","PCG","PCG","interacts"
"4794","AXIN2","GSK3B","PCG","PCG","interacts"
"4795","AXIN2","CTNNB1","PCG","PCG","interacts"
"4796","AXL","GAB1","PCG","PCG","interacts"
"4797","AXL","IFNAR1","PCG","PCG","interacts"
"4798","AXL","JAK1","PCG","PCG","interacts"
"4799","AXL","JAK2","PCG","PCG","interacts"
"4800","AXL","GRB2","PCG","PCG","interacts"
"4801","AXL","SHC1","PCG","PCG","interacts"
"4802","AXL","GAS6","PCG","PCG","interacts"
"4803","BABAM2","CBX4","PCG","PCG","interacts"
"4804","BABAM2","SHMT2","PCG","PCG","interacts"
"4805","BABAM2","CDC23","PCG","PCG","interacts"
"4806","BABAM2","RING1","PCG","PCG","interacts"
"4807","BABAM2","UBE2C","PCG","PCG","interacts"
"4808","BABAM2","BMI1","PCG","PCG","interacts"
"4809","BABAM2","BRCA2","PCG","PCG","interacts"
"4810","BABAM2","RAD51","PCG","PCG","interacts"
"4811","BABAM2","BRCA1","PCG","PCG","interacts"
"4812","BACE1","BACE2","PCG","PCG","interacts"
"4813","BACE1","PSEN1","PCG","PCG","interacts"
"4814","BACE2","FYN","PCG","PCG","interacts"
"4815","BAD","MAPK1","PCG","PCG","interacts"
"4816","BAD","YWHAH","PCG","PCG","interacts"
"4817","BAD","BCL2L2","PCG","PCG","interacts"
"4818","BAD","MAPK3","PCG","PCG","interacts"
"4819","BAD","MAP2K1","PCG","PCG","interacts"
"4820","BAD","SFN","PCG","PCG","interacts"
"4821","BAD","PRKG1","PCG","PCG","interacts"
"4822","BAD","BCL2L1","PCG","PCG","interacts"
"4823","BAD","BCL2L11","PCG","PCG","interacts"
"4824","BAD","MAPK8","PCG","PCG","interacts"
"4825","BAD","RAF1","PCG","PCG","interacts"
"4826","BAD","YWHAZ","PCG","PCG","interacts"
"4827","BAD","BCL2","PCG","PCG","interacts"
"4828","BAG1","BCL2","PCG","PCG","interacts"
"4829","BAG1","RAF1","PCG","PCG","interacts"
"4830","BAK1","BCL2L2","PCG","PCG","interacts"
"4831","BAK1","BAX","PCG","PCG","interacts"
"4832","BAK1","CYCS","PCG","PCG","interacts"
"4833","BAK1","MCL1","PCG","PCG","interacts"
"4834","BAK1","BBC3","PCG","PCG","interacts"
"4835","BAK1","BCL2L11","PCG","PCG","interacts"
"4836","BAK1","BCL2L1","PCG","PCG","interacts"
"4837","BAK1","BCL2","PCG","PCG","interacts"
"4838","BAP1","CBX7","PCG","PCG","interacts"
"4839","BAP1","CBX4","PCG","PCG","interacts"
"4840","BAP1","KDM1B","PCG","PCG","interacts"
"4841","BAP1","SUZ12","PCG","PCG","interacts"
"4842","BAP1","EZH2","PCG","PCG","interacts"
"4843","BAP1","EED","PCG","PCG","interacts"
"4844","BAP1","RING1","PCG","PCG","interacts"
"4845","BAP1","BMI1","PCG","PCG","interacts"
"4846","BAP1","EZH1","PCG","PCG","interacts"
"4847","BAP1","HDAC2","PCG","PCG","interacts"
"4848","BAP1","BRCA1","PCG","PCG","interacts"
"4849","BASP1","MARCKS","PCG","PCG","interacts"
"4850","BAX","SIRT1","PCG","PCG","interacts"
"4851","BAX","BCL2L2","PCG","PCG","interacts"
"4852","BAX","HK2","PCG","PCG","interacts"
"4853","BAX","PMAIP1","PCG","PCG","interacts"
"4854","BAX","HK1","PCG","PCG","interacts"
"4855","BAX","BBC3","PCG","PCG","interacts"
"4856","BAX","VDAC1","PCG","PCG","interacts"
"4857","BAX","CYCS","PCG","PCG","interacts"
"4858","BAX","BCL2L11","PCG","PCG","interacts"
"4859","BAX","BCL2","PCG","PCG","interacts"
"4860","BAX","BCL2L1","PCG","PCG","interacts"
"4861","BAX","MCL1","PCG","PCG","interacts"
"4862","BBC3","BCL2L2","PCG","PCG","interacts"
"4863","BBC3","PMAIP1","PCG","PCG","interacts"
"4864","BBC3","MCL1","PCG","PCG","interacts"
"4865","BBC3","BCL2L1","PCG","PCG","interacts"
"4866","BBC3","BCL2L11","PCG","PCG","interacts"
"4867","BBC3","BCL2","PCG","PCG","interacts"
"4868","BCAT1","GCLM","PCG","PCG","interacts"
"4869","BCAT1","LDHA","PCG","PCG","interacts"
"4870","BCAT1","GCLC","PCG","PCG","interacts"
"4871","BCAT1","IL4I1","PCG","PCG","interacts"
"4872","BCL2","MAPK1","PCG","PCG","interacts"
"4873","BCL2","CCND1","PCG","PCG","interacts"
"4874","BCL2","RRAS","PCG","PCG","interacts"
"4875","BCL2","MDM2","PCG","PCG","interacts"
"4876","BCL2","MAPK3","PCG","PCG","interacts"
"4877","BCL2","ITPR1","PCG","PCG","interacts"
"4878","BCL2","CYCS","PCG","PCG","interacts"
"4879","BCL2","CASP3","PCG","PCG","interacts"
"4880","BCL2","PPP2R2A","PCG","PCG","interacts"
"4881","BCL2","PMAIP1","PCG","PCG","interacts"
"4882","BCL2","SIVA1","PCG","PCG","interacts"
"4883","BCL2","CASP9","PCG","PCG","interacts"
"4884","BCL2","HSP90AA1","PCG","PCG","interacts"
"4885","BCL2","TP53BP2","PCG","PCG","interacts"
"4886","BCL2","BMF","PCG","PCG","interacts"
"4887","BCL2","CASP8","PCG","PCG","interacts"
"4888","BCL2","BECN1","PCG","PCG","interacts"
"4889","BCL2","PARP1","PCG","PCG","interacts"
"4890","BCL2","BNIP3","PCG","PCG","interacts"
"4891","BCL2","XIAP","PCG","PCG","interacts"
"4892","BCL2","BCL2L1","PCG","PCG","interacts"
"4893","BCL2","BCL2L11","PCG","PCG","interacts"
"4894","BCL2","VDAC1","PCG","PCG","interacts"
"4895","BCL2","CDK1","PCG","PCG","interacts"
"4896","BCL2","MAPK8","PCG","PCG","interacts"
"4897","BCL2","CREB1","PCG","PCG","interacts"
"4898","BCL2","HRAS","PCG","PCG","interacts"
"4899","BCL2","PPP2CA","PCG","PCG","interacts"
"4900","BCL2L1","IL2","PCG","PCG","interacts"
"4901","BCL2L1","BCL2L2","PCG","PCG","interacts"
"4902","BCL2L1","KRAS","PCG","PCG","interacts"
"4903","BCL2L1","CYCS","PCG","PCG","interacts"
"4904","BCL2L1","CASP3","PCG","PCG","interacts"
"4905","BCL2L1","PMAIP1","PCG","PCG","interacts"
"4906","BCL2L1","SIVA1","PCG","PCG","interacts"
"4907","BCL2L1","CASP9","PCG","PCG","interacts"
"4908","BCL2L1","BMF","PCG","PCG","interacts"
"4909","BCL2L1","CASP8","PCG","PCG","interacts"
"4910","BCL2L1","BECN1","PCG","PCG","interacts"
"4911","BCL2L1","BNIP3","PCG","PCG","interacts"
"4912","BCL2L1","MCL1","PCG","PCG","interacts"
"4913","BCL2L1","XIAP","PCG","PCG","interacts"
"4914","BCL2L1","MAPK8","PCG","PCG","interacts"
"4915","BCL2L1","VDAC1","PCG","PCG","interacts"
"4916","BCL2L1","BCL2L11","PCG","PCG","interacts"
"4917","BCL2L11","MAPK1","PCG","PCG","interacts"
"4918","BCL2L11","BCL2L2","PCG","PCG","interacts"
"4919","BCL2L11","MAPK3","PCG","PCG","interacts"
"4920","BCL2L11","PMAIP1","PCG","PCG","interacts"
"4921","BCL2L11","BMF","PCG","PCG","interacts"
"4922","BCL2L11","BECN1","PCG","PCG","interacts"
"4923","BCL2L11","MCL1","PCG","PCG","interacts"
"4924","BCL2L11","MAPK8","PCG","PCG","interacts"
"4925","BCL2L2","BECN1","PCG","PCG","interacts"
"4926","BCL2L2","MCL1","PCG","PCG","interacts"
"4927","BCL2L2","BMF","PCG","PCG","interacts"
"4928","BCL2L2","PMAIP1","PCG","PCG","interacts"
"4929","BCL9","CTNNB1","PCG","PCG","interacts"
"4930","BDNF","SLC6A4","PCG","PCG","interacts"
"4931","BDNF","MAPK3","PCG","PCG","interacts"
"4932","BDNF","NTRK3","PCG","PCG","interacts"
"4933","BDNF","CREB1","PCG","PCG","interacts"
"4934","BDNF","GDNF","PCG","PCG","interacts"
"4935","BDNF","IGF1R","PCG","PCG","interacts"
"4936","BECN1","RB1CC1","PCG","PCG","interacts"
"4937","BECN1","BIRC3","PCG","PCG","interacts"
"4938","BECN1","RAB5A","PCG","PCG","interacts"
